main_set,variant,card_count,group_rows,current_subsets,proposed_new_subset,note
2025 Kakawow Aura Marvel,Gold Wave Refractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - Gold Wave Refractor,
2025 Kakawow Aura Marvel,Refractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - Refractor,
2025 Kakawow Aura Marvel,Black Refractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - Black Refractor,
2025 Kakawow Aura Marvel,Red Wave Refractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - Red Wave Refractor,
2025 Kakawow Aura Marvel,SuperFractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - SuperFractor,
2025 Kakawow Aura Marvel,Orange Lava Refractor,10,10,2025 Kakawow Aura Marvel - The Legend of Iron Man Gold,2025 Kakawow Aura Marvel - Orange Lava Refractor,
2025 Topps Chrome Marvel,Orange Lava Refractor,10,10,2025 Topps Chrome Marvel - Galactic Legends,2025 Topps Chrome Marvel - Orange Lava Refractor,
2025 Topps Chrome Marvel,Black Lazer Refractor,10,10,2025 Topps Chrome Marvel - Indestructible Black Lazer Refractor,2025 Topps Chrome Marvel - Black Lazer Refractor,
Marvel 2025 Topps Chrome,Gold Wave,10,10,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Gold Wave,
(unassigned),Printing Plate,8,8,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
2000 Topps X-Men The Movie,Photo,8,8,2000 Topps X-Men The Movie - Clear Cling,2000 Topps X-Men The Movie - Photo,
2023 Upper Deck Marvel Platinum ,1963,8,8,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1963,
2023 Upper Deck Marvel Platinum ,1962,8,8,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1962,
(unassigned),Black,7,7,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
2020 Upper Deck Marvel Ages,Premium Sticker,7,7,2020 Upper Deck Marvel Ages - 2020 Upper Deck Marvel Ages,2020 Upper Deck Marvel Ages - Premium Sticker,
2022 Fleer Ultra Marvel Avengers,2018,7,7,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2018,
Marvel 2025 Topps Chrome,Orange Lava,7,7,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Orange Lava,
Marvel 2025 Topps Chrome,Green Lazer,7,7,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Green Lazer,
Marvel 2025 Topps Chrome,Clawed,7,7,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Clawed,
marvel 2025 topps finest x men '97,Red Refractor,7,7,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Red Refractor,
2022 Fleer Ultra Marvel Avengers,2005,6,6,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2005,
Marvel 2025 Topps Chrome,Mini-Diamonds Refractor,6,6,Marvel 2025 Topps Chrome Avengers Infinity Die-Cut,Marvel 2025 Topps Chrome - Mini-Diamonds Refractor,
Marvel 2025 Topps Chrome,Red Wave Refractor,6,6,Marvel 2025 Topps Chrome Avengers Infinity Die-Cut,Marvel 2025 Topps Chrome - Red Wave Refractor,
Marvel 2025 Topps Chrome,Black Refractor,6,6,Marvel 2025 Topps Chrome Avengers Infinity Die-Cut,Marvel 2025 Topps Chrome - Black Refractor,
marvel 2025 topps finest x men '97,Laser Refractor SP,6,6,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Laser Refractor SP,
2025 Topps Chrome Marvel,Kaleidoscope Refractor,5,5,2025 Topps Chrome Marvel - Marvel Reflections,2025 Topps Chrome Marvel - Kaleidoscope Refractor,
2025 Topps Chrome Marvel,SuperFractor Scodix,5,5,2025 Topps Chrome Marvel - Marvel Reflections,2025 Topps Chrome Marvel - SuperFractor Scodix,
2025 Topps Chrome Marvel,RayWave Refractor,5,5,2025 Topps Chrome Marvel - Marvel Reflections,2025 Topps Chrome Marvel - RayWave Refractor,
2025 Topps Chrome Marvel,Shimmer Refractor,5,5,2025 Topps Chrome Marvel - Marvel Reflections,2025 Topps Chrome Marvel - Shimmer Refractor,
Marvel 2025 Topps Chrome,Blue,5,5,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Blue,
Marvel 2025 Topps Chrome,Red Shimmer,5,5,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Red Shimmer,
Marvel 2025 Topps Chrome,Purple Shimmer,5,5,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Purple Shimmer,
Marvel 2025 Topps Chrome,Yellow Lava,5,5,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Yellow Lava,
Marvel 2025 Topps Chrome,SuperFractor Clawed,5,5,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - SuperFractor Clawed,
marvel 2025 topps finest x men '97,SuperFractor,5,5,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - SuperFractor,
2000 Topps X-Men The Movie,Art,4,4,2000 Topps X-Men The Movie - Clear Cling,2000 Topps X-Men The Movie - Art,
2020-21 Upper Deck Marvel Annual,2018,4,2,2020-21 Upper Deck Marvel Annual - Splash-ticular 3D,2020-21 Upper Deck Marvel Annual - 2018,
2022 Fleer Ultra Marvel Avengers,1998,4,4,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 1998,
2022 Fleer Ultra Marvel Avengers,2004,4,4,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2004,
2023 Fleer Ultra Marvel Wolverine,1982,4,4,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1982,
2023 Fleer Ultra Marvel Wolverine,1984,4,4,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1984,
2023 Fleer Ultra Marvel Wolverine,2001,4,4,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2001,
Marvel 2025 Topps Chrome,Blue Green Shimmer,4,4,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Blue Green Shimmer,
marvel 2025 topps finest x men '97,Orange Refractor SP,4,4,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Orange Refractor SP,
2023 Fleer Ultra Marvel Wolverine,2014,3,3,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2014,
2023 Fleer Ultra Marvel Wolverine,X-Force,3,3,2023 Fleer Ultra Marvel Wolverine - eX Century; 2023 Fleer Ultra Marvel Wolverine - eX Century Essential Credentials Future; 2023 Fleer Ultra Marvel Wolverine - eX Century Essential Credentials Now,2023 Fleer Ultra Marvel Wolverine - X-Force,
Marvel 2025 Topps Chrome,Refractor,3,3,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Refractor,
marvel 2025 topps finest x men '97,Gold Refractor SP,3,3,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Gold Refractor SP,
marvel 2025 topps finest x men '97,Refractor SP,3,3,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Refractor SP,
2022 Fleer Ultra Marvel Avengers,2008,2,2,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2008,
2022 Fleer Ultra Marvel Avengers,2019,2,2,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2019,
2023 Fleer Ultra Marvel Wolverine,2018,2,2,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2018,
2023 Fleer Ultra Marvel Wolverine,1971,2,2,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1971,
2023 Fleer Ultra Marvel Wolverine,2020,2,2,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2020,
2023 Fleer Ultra Marvel Wolverine,1962,2,2,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1962,
2023 Fleer Ultra Marvel Wolverine,2006,2,2,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2006,
2023 Fleer Ultra Marvel Wolverine,2016,2,2,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2016,
2023 Upper Deck Marvel Platinum ,1952,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1952,
2023 Upper Deck Marvel Platinum ,1984,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1984,
2023 Upper Deck Marvel Platinum ,1964,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1964,
2023 Upper Deck Marvel Platinum ,1991,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1991,
2023 Upper Deck Marvel Platinum ,2005,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 2005,
2023 Upper Deck Marvel Platinum ,1966,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1966,
2023 Upper Deck Marvel Platinum ,1968,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1968,
2023 Upper Deck Marvel Platinum ,2012,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 2012,
2023 Upper Deck Marvel Platinum ,2018,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 2018,
2023 Upper Deck Marvel Platinum ,2003,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 2003,
2023 Upper Deck Marvel Platinum ,1959,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1959,
2023 Upper Deck Marvel Platinum ,1993,2,2,2023 Upper Deck Marvel Platinum - Iconic Covers; 2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,2023 Upper Deck Marvel Platinum  - 1993,
marvel 2025 topps finest x men '97,X-Fractor SP,2,2,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - X-Fractor SP,
2022 Fleer Ultra Marvel Avengers,1967,1,1,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 1967,
2022 Fleer Ultra Marvel Avengers,1974,1,1,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 1974,
2022 Fleer Ultra Marvel Avengers,2009,1,1,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 2009,
2022 Fleer Ultra Marvel Avengers,1985,1,1,2022 Fleer Ultra Marvel Avengers - Comic Clippings,2022 Fleer Ultra Marvel Avengers - 1985,
2023 Fleer Ultra Marvel Wolverine,1983,1,1,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers,2023 Fleer Ultra Marvel Wolverine - 1983,
2023 Fleer Ultra Marvel Wolverine,1964,1,1,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers,2023 Fleer Ultra Marvel Wolverine - 1964,
2023 Fleer Ultra Marvel Wolverine,1991,1,1,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers,2023 Fleer Ultra Marvel Wolverine - 1991,
2023 Fleer Ultra Marvel Wolverine,2005,1,1,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers,2023 Fleer Ultra Marvel Wolverine - 2005,
2023 Fleer Ultra Marvel Wolverine,1975,1,1,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1975,
2023 Fleer Ultra Marvel Wolverine,2008,1,1,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2008,
2023 Fleer Ultra Marvel Wolverine,2015,1,1,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2015,
2023 Fleer Ultra Marvel Wolverine,2009,1,1,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2009,
2023 Upper Deck Marvel Platinum ,Jane Foster,1,1,2023 Upper Deck Marvel Platinum - Blue Rainbow,2023 Upper Deck Marvel Platinum  - Jane Foster,
2025 Topps Chrome Marvel,Golden Age,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age,
2025 Topps Chrome Marvel,Golden Age SuperFractor,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age SuperFractor,
2025 Topps Chrome Marvel,Golden Age Red Wave Refractor,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age Red Wave Refractor,
2025 Topps Chrome Marvel,Golden Age Gold Wave Refractor,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age Gold Wave Refractor,
2025 Topps Chrome Marvel,Golden Age Orange Refractor,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age Orange Refractor,
2025 Topps Chrome Marvel,Golden Age Black Refractor,1,1,2025 Topps Chrome Marvel - Marvel Anniversaries,2025 Topps Chrome Marvel - Golden Age Black Refractor,
Marvel 2025 Topps Chrome,Red Gold Lazer,1,1,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Red Gold Lazer,
marvel 2025 topps finest x men '97,Red Refractor SP,1,1,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Red Refractor SP,
